no,tweet,label
1,"Ija pa pe kam ringan gundari, kutotoken gelah kam sehat-sehat",positive
2,Kai Lagu Karo populer gundari nake?,neutral
3,Kutotoken kam ndai gelah tetap sehat ras erpengharapen man si mada kuasa.,positive
4,"Min, usul saja untuk background tulisan kalau bisa ganti dengan warna yang lebih soft. Mesui mata ngogesa. Bujur",negative
5,"Ula kal sempat lolo nontil, gara-gara kai pe. Nontil nomor sada.",negative
6,"""Adi pang ko nustus tanku salu jarum ena, nenko, dung naring ko sekale ku ban.""",negative
7,Lit bagenda tetanggandu perantauan enda min <USER>,neutral
8,"Ate la ate ngena, lit saja usur akap si la pas amin pe mehuli. ",negative
9,"Payo kang. Adina banci pe sekolahken perban lit juma bapa ras nandena. Yah, ku juma lah lebe nggo lit inganna, adi la dat dahin lulus sekolah",negative
10,"Si kujadah si kujedah nindu je rusur, tapi la lit isina kai pe cakapndu e. Usuren cakap mali-mali :)",negative
11,"Dahinkenlah dahinndu, cametlah jumandu, cangkullah sabahndu, tangkolah gadung entah pe jong si man tutungen bas wari si sendah. Mejuah-juah!",negative
12,Mekisat kal...munduk-unduk denga aku,negative
13,oula atendu aru adi lalap denga la bagi ukurndu. Dahinlah dahinndu alu tutus. Mejuah-juah. Dibata simasu-masu,negative
14,Taneh Karo mekelek udanna? Makana banjir lit piga2,negative
15,Page pulut page si alia Ukur gulut ngidah-ngidah kam mesra ras ia,negative
16,Rempet merhat tape tapi si bungkusna bulung birah,neutral
17,Begu ganjang ras kade-kadena sendalanen,negative
18,Tiap wari lit si viral. Usuren si la mehuli,negative
19,Upah melantar e me kebenen.,negative
20,Tedeh e tedeh nge kari lalap tapi teh susu e labo kari ernanam adi lupa nggawersa.,neutral
21,Tedeh e pe la tehna tumburen. La ngeteh jam.,neutral
22,Kai pe la man ukuren. Lit nge pagi malemna kerina,neutral
23,"Selamat wari Minggu nake. Mejuah-juah kita kerina. Melala gundari musibah, kai-kai saja pe lit. Emaka mbera Dibata lalap si njagai kita.",positive
24,Janji si nggo i pudun ula kal sempat la sahun,negative
25,"Lakap si angkan e KdKd, sedak kapndu kataken na kam la beluh seharus na me pekena min tambarna maka payo, heheheheh",negative
26,Sedak bas pusuh ku ja nge kuturiken..bage pe nindu aku la beluh,negative
27,"Ngena ateku kam, kepeken ngena atendu temanku",negative
28,Tambar gelah la terpusuh,positive
29,Nggeluh enda erkepe-kepe.,neutral
30,"Rimo mulana, erjengil pekara tapak pendungina.",negative
31,"Rimo mulana, ate keleng pendungina",positive
32,Sebab Dibata ngidah kerina perbahanenndu :),neutral
33,Perkuah ate si mbelin rehna ibas Dibata nari. Endeskenlah geluhndu man baNa segelah malem atendu i bahanNa.,positive
34,Kelengku man bandu labo keleng kaleng-kaleng.,positive
35,Usuren jungut-jungut asangken ngataken bujur. Banci kin la ayo e lampas ringut.,negative
36,Riahken uga litna.,positive
37,Kuinget denga lalap nanam cimpa si tasakken ndu jine,positive
38,Mejile kel kam,positive
39,Nggeluh erpengharapen man Dibata sebab Ia ngasup mereken man bandu kemalemen ate.,neutral
40,Man yaaaahhhh...kacepe tutung-tutung sekalenda bengkauta,neutral
41,"nakan si matah, meseng ras medakdak si tanggerkenndu sanga kam suruh nande erdakan i rumah.",negative
42,rubati ras kam perban ndekahsa kam ciloak i pajak singa,negative
43,Emas asa takal kuda,positive
44,Mama iting dat perunggu. E pe terakap. Selamat <USER>,positive
45,Uga maka maten kerina jelma ndai nake,negative
46,Ayak-ayak Biang.,negative
47,Kai pe la man ukuren. Lit nge pagi malemna kerina,positive
48,"Ula kam sangsi agi, masa depan cerah adi ras aku... E pe adi la udan ya.",positive
49,"Antara aku kam ras ia,,, kam teku ngena,, tapi kam, ia atendu ngena…",positive
50,"Nggo sikap kerina kalimbubu,, mis kam man yah…",positive
51,"Gua berita teman,,",neutral
52,uga berita kena teman???,neutral
53,"Kam si salah, kam si lepak",negative
54,"Situhuna agi ku, kam la terlupaken aku.. Buktina kuinget denga lalap utang ndu…",neutral
55,"Aula kam sangsi nande ginting, let nge bas aku ",negative
56,"kai gia je, gelah ula jenda,,,",neutral
57,"Sentabi kel i jenda siban kita sangana erlajar alu erbage-bage kengasupen ta, lit (enterem) si kurang, tapi nggit ia erlajar",positive
58,Asa bancina ula ka min kita piah mbunuh semangat si atena erlajar alu erbahan perasanna merasa itokohi perban la ietehna.,negative
59,"Siniarapkenta, siajar-ajaren minlah kita kerina. Ula kari perban jagar-jagarta nge ndai, kalak lanai nggit erlajar. Bujur",positive
60,erlajar lebe gelah beluh....,positive
61,"maksudna ndai, siapai si sungkunndu artina? :)",neutral
62,Mejuah-juah man banta kerina. Ula lupa follow,positive
63,"Tunduh lebe yah,",neutral
64,Kai gulen kena berngi enda nake? jenda odang goreng ras terong dotak ngenca..,neutral
65,"Rusur kam gabung ku jamburta enda, gelah radu erlajar kita jenda",positive
66,ejuah juah.. arah jenda nari :),positive
67,Mejuah-juah man banta kerina Aron i ja pe Kita ringan,positive
68,Pernah ka nge lit temanta (la Kalak Karo ras la tading i Sumatera Utara) nuri-nuri kerna Karo?,neutral
69,"Wari sabtu, wari ndahi kerja-kerja.",neutral
70,Berita mehuli man banta kerina Kalak Karo karina.,positive
71,"Mari, sikatan bana kita.",positive
72,Lit si menarik i bas bagin awal video enda,positive
73,"Selamat #KerjaTahun! Asa jam piga ndai ndedah gendang, Nake? Nggo medak?",positive
74,"Ergiah-giahlah kam ngelakoken pendahinndu, bagi sinuan-sinuan mbaru ertunas kena udan. Semangat berkarya Aron, mejuah-juah!",positive
75,Emaka mbiar aku mbuat br ginting e,negative
76,ula lupa ertoto ope kam medem segelah ula pagi kam lupa medak bas erpagi-pagi :),positive
77,"La kin mbiar sitik pe kalak karo si tanah karo e, uga ka dage ban",negative
78,Bujur man bandu teman. Enggo babandu kalak karo lebih i tandai kalak di Indonesia ras Dunia enda,positive
79,selamat enggo masuk semifinal kam ting. Mejuah-juah man banta kerina,positive
80,"Adi ise pe labo tandai, kalak karo saja pilih yah",neutral
81,Kam kalak karo?,neutral
82,Kai nge ngo realisasiken janji DPRD terpilih sesuai janji dukcapil na sesuai daerahndu gundari.,neutral
83,Arah kuta kena tanggal piga tahun baru nake…,neutral
84,Situhuna wari sisendah me salah sada wari kebesaran Kalak Karo,positive
85,"Bujor Tuhan, ngo udan bandu. Sada menit saja tah ngo piga ton penusurndu lau",positive
86,"Adi perjuma-juma lit motorna tulisna ""Kol Mulana"", adi pegawai ""Pulpen Mulana""",positive
87,"Apai pe kam nande Tigan, kupastiken kam krina pinangko ikan",negative
88,ula larangndu Dibata peturah Ganja. pikiren ras beltekta lah rananaken,neutral
89,"Kalak karo e, uga pe gejekna madian kapna kerja-kerja, ergendang, perpulungen ras temanna sendalanen. Emaka lo tergujuhi",negative
90,"Kepeken reh bersihna kita, reh langkana kacibang",positive
91,"ninta Dibata kai pe idahna, kai pe begina. engkai dage maka kita ngadu² kerna Dibata man manusia",neutral
92,"Inget kerja tahun inget tape. Erban tape kuta unikna la bci erkesut, macem kari nina mbarenda nini",neutral
93,Adi kerna rajin ras metir kugereja,positive
94,Jarang kal manusia nggeluh ketika dat musibah atakenna rejeki ras dat sen adalah musibah/karma,negative
95,"La ngurangi kehamaten kami, ula melus bulung-bulung i kerangen, i gelari kam presiden kam Ir Joko Widodo",neutral
96,ula macam² adi tekuak manuk pertama nina,neutral
97,"adi nai, mesui ipenta, ndoh ndaku pecek kakambal me nina nini",negative
98,setuhuna karo e bidang kesusastraan seh kal majuna,positive
99,Asa kai bintang tamu si reh masa Kerja Tahun enda ia me salah,neutral
100,"oula ateta mamang, kalak si kumat pinakit ",negative
101,Sada kata sada wari bagin si peduaken,neutral
102,Tapi totoku gelah kita kerina tetap lit bas keadan sehat ras mejuah-juah!,positive
103,Arih lolo erban ate megogo nina lagu karo.,negative
104,"Uga erban ukur meriah adi la merugiken kalak, bage sajalah ban. Labo pedah begiken cakap sinterem. Ia kai kin nina lang",positive
105,"""Kam ula sempat narkobaan i kuta kalak ena ya nakku, pala lampas atendu aku mate...""",negative
